mission,rtg_years,rtg_n,rtg_years_ind,l,w,notes
Voyager 1,112,3,37.33333333,156,2,
Voyager 2,112,3,37.33333333,156,2,
Cassini,51.4,2,25.7,286,2,
Galileo,27.8,1,27.8,286,2,
New Horizons,8.87,1,8.87,286,2,
Ulysses,18.7,1,18.7,286,2,
Pioneer 10,124,4,31,30,3,
Pioneer 11,90.6,4,22.65,30,3,
Viking 1 Lander,14.5,2,7.25,30,3,
Viking 2 Lander,9.18,2,4.59,30,3,
Transit 5BN-1,0.75,1,0.75,30,3,assumed
Transit 5BN-2,6,1,6,30,3,assumed
Transit 4A,15,1,15,30,3,assumed
Transit 4B,9,1,9,30,3,assumed
LES 8,56.4,1,56.4,156,2,
LES 9,71.6,2,35.8,156,2,
MSL,3.01,1,3.01,384,2,
