mission,rtg_n,rtg_years_ind,l,w,,,,,,,
Voyager 1,3,44.69041096,156,2,,,,,,,
Voyager 2,3,44.73424658,156,2,,,,,,,
Cassini,3,19.93150685,286,2,,,,,,,
Galileo,2,13.93424658,286,2,,,,,,,
New Horizons,1,16.29863014,286,2,,,,,,,
Ulysses,1,31.59726027,286,2,,,,,,,
Pioneer 10,4,30.91506849,30,3,,,,,,,
Pioneer 11,4,22.50136986,30,3,,,,,,,
Viking 1 Lander,2,7.232876712,30,3,,,,,,,
Viking 2 Lander,2,4.591780822,30,3,,,,,,,
Transit 5BN-1,1,0.75,30,3,,,,,,,
Transit 5BN-2,1,6,30,3,,,,,,,
Transit 4A,1,15,30,3,,,,,,,
Transit 4B,1,9,30,3,,,,,,,
LES 8,2,28.2,156,2,,,,,,,
LES 9,2,35.8,156,2,,,,,,,
MSL,1,10.44383562,384,2,,,,,,,
